Date;Open;High;Low;Close;Adj Close;Volume
7/1/2020;49.349.998;49.389.999;48.040.001;48.250.000;48.250.000;58061400
8/1/2020;47.849.998;48.299.999;47.139.999;47.830.002;47.830.002;53767000
9/1/2020;48.939.999;49.959.999;48.389.999;48.970.001;48.970.001;76512800
10/1/2020;49.259.998;49.290.001;48.000.000;48.169.998;48.169.998;44133700
13/1/2020;48.660.000;48.860.001;48.240.002;48.750.000;48.750.000;34266800
14/1/2020;48.639.999;49.040.001;47.910.000;48.209.999;48.209.999;38563200
15/1/2020;48.230.000;49.080.002;48.119.999;48.549.999;48.549.999;40199900
16/1/2020;49.169.998;50.310.001;48.990.002;49.770.000;49.770.000;58898900
17/1/2020;50.200.001;51.049.999;49.900.002;50.930.000;50.930.000;57722500
21/1/2020;50.959.999;51.810.001;50.700.001;51.049.999;51.049.999;49095000
22/1/2020;51.630.001;51.880.001;51.200.001;51.430.000;51.430.000;40772200
23/1/2020;51.340.000;51.750.000;50.740.002;51.709.999;51.709.999;40135400
24/1/2020;52.279.999;52.810.001;49.470.001;50.349.998;50.349.998;80004900
27/1/2020;48.450.001;49.790.001;47.900.002;49.259.998;49.259.998;48878600
28/1/2020;50.029.999;50.849.998;49.480.000;50.529.999;50.529.999;62343800
29/1/2020;47.840.000;48.070.000;46.099.998;47.509.998;47.509.998;112349900
30/1/2020;46.490.002;48.810.001;46.130.001;48.779.999;48.779.999;70460200
31/1/2020;48.400.002;48.580.002;46.790.001;47.000.000;47.000.000;60322400
3/2/2020;46.400.002;48.099.998;46.230.000;48.020.000;48.020.000;47077000
4/2/2020;49.209.999;49.750.000;48.610.001;49.450.001;49.450.001;46302100
5/2/2020;50.290.001;50.419.998;49.310.001;49.840.000;49.840.000;42737100
6/2/2020;48.799.999;49.389.999;47.630.001;49.320.000;49.320.000;48670600
7/2/2020;48.910.000;50.669.998;48.639.999;49.730.000;49.730.000;53107600
10/2/2020;49.470.001;52.299.999;49.349.998;52.259.998;52.259.998;60971700
11/2/2020;53.220.001;54.480.000;52.910.000;53.799.999;53.799.999;74719100
12/2/2020;54.529.999;54.849.998;53.529.999;53.889.999;53.889.999;45994900
13/2/2020;53.430.000;55.029.999;53.340.000;54.529.999;54.529.999;51640000
14/2/2020;55.189.999;55.400.002;54.560.001;55.310.001;55.310.001;52365400
18/2/2020;54.939.999;58.130.001;54.840.000;56.889.999;56.889.999;70133200
19/2/2020;57.990.002;59.270.000;57.509.998;58.900.002;58.900.002;58597300
20/2/2020;58.439.999;59.020.000;56.150.002;57.270.000;57.270.000;74203400
21/2/2020;56.709.999;56.799.999;52.889.999;53.279.999;53.279.999;88271100
24/2/2020;48.180.000;50.279.999;47.490.002;49.119.999;49.119.999;86624100
25/2/2020;51.139.999;51.240.002;47.119.999;47.570.000;47.570.000;88699400
26/2/2020;47.700.001;49.290.001;47.070.000;47.490.002;47.490.002;86378400
27/2/2020;45.380.001;46.240.002;42.209.999;44.009.998;44.009.998;106416200
28/2/2020;41.360.001;46.150.002;41.040.001;45.480.000;45.480.000;100667700
2/3/2020;47.419.998;47.680.000;44.660.000;47.459.999;47.459.999;102324700
3/3/2020;49.029.999;50.200.001;45.669.998;46.750.000;46.750.000;141972300
4/3/2020;48.250.000;50.139.999;47.209.999;50.110.001;50.110.001;93311800
5/3/2020;48.680.000;49.720.001;47.509.998;48.110.001;48.110.001;98302700
6/3/2020;49.439.999;49.540.001;46.740.002;48.590.000;48.590.000;124590900
9/3/2020;43.029.999;46.340.000;42.509.998;43.270.000;43.270.000;80859800
10/3/2020;45.410.000;45.439.999;43.099.998;45.380.001;45.380.001;76228200
11/3/2020;44.189.999;45.970.001;43.799.999;45.700.001;45.700.001;101601100
12/3/2020;42.000.000;42.500.000;39.000.000;39.009.998;39.009.998;107461500
13/3/2020;42.200.001;43.910.000;39.599.998;43.900.002;43.900.002;86689700
16/3/2020;39.080.002;43.369.999;38.509.998;38.709.999;38.709.999;84545900
17/3/2020;40.189.999;42.880.001;38.299.999;41.880.001;41.880.001;92741900
18/3/2020;39.540.001;41.950.001;36.750.000;39.119.999;39.119.999;106949300
19/3/2020;39.560.001;41.700.001;37.689.999;39.820.000;39.820.000;88939000
20/3/2020;41.509.998;42.480.000;39.580.002;39.610.001;39.610.001;106859500
23/3/2020;40.619.999;42.320.000;38.950.001;41.639.999;41.639.999;101704700
24/3/2020;44.040.001;46.810.001;43.990.002;46.220.001;46.220.001;106794200
25/3/2020;46.790.001;47.880.001;44.430.000;44.630.001;44.630.001;93760400
26/3/2020;45.779.999;47.500.000;45.400.002;47.500.000;47.500.000;73680200
27/3/2020;46.320.000;47.980.000;45.900.002;46.580.002;46.580.002;74599200
30/3/2020;47.240.002;48.459.999;46.660.000;47.860.001;47.860.001;68486600
31/3/2020;47.930.000;48.529.999;45.160.000;45.480.000;45.480.000;83483700
1/4/2020;44.180.000;46.849.998;43.160.000;43.660.000;43.660.000;92083100
2/4/2020;43.400.002;45.279.999;43.099.998;44.490.002;44.490.002;79024100
3/4/2020;44.299.999;44.840.000;41.700.001;42.590.000;42.590.000;79335000
6/4/2020;44.299.999;47.580.002;44.060.001;47.520.000;47.520.000;82294000
